Unnamed: 0,To rent,To sell,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of the terrace,Garden,Area of the garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,zipcode,type,price_per_sq_m,region
10125348,True,False,1775.0,4.0,180.0,True,False,False,True,15.0,False,0.0,200.0,200.0,3.0,False,Bon,3000,Maisondemaître,8.875,Flanders
10126222,True,False,3950.0,4.0,270.0,True,False,False,True,58.0,True,5900.0,7708.0,7708.0,4.0,False,Fraîchementrénové,3090,Maison,0.5124545926310327,Flanders
10127120,True,False,4500.0,6.0,456.0,True,False,True,True,25.0,True,1000.0,1000.0,1000.0,4.0,False,Excellentétat,1410,Villa,4.5,Brussels
10135981,True,False,3600.0,5.0,230.0,True,False,False,True,20.0,False,0.0,500.0,500.0,4.0,False,Bon,3080,Villa,7.2,Flanders
10138323,True,False,1900.0,4.0,130.0,True,False,False,True,15.0,True,150.0,350.0,350.0,4.0,False,Excellentétat,1170,Maison,5.428571428571429,Brussels
10141647,True,False,2200.0,4.0,250.0,True,False,False,False,0.0,True,700.0,800.0,800.0,4.0,False,Fraîchementrénové,1410,Villa,2.75,Brussels
10142028,True,False,2200.0,4.0,192.0,True,False,True,False,0.0,True,578.0,678.0,678.0,4.0,False,Bon,1410,Maison,3.2448377581120944,Brussels
10150866,True,False,3500.0,4.0,292.0,True,False,True,True,30.0,True,1600.0,1600.0,1600.0,4.0,False,Fraîchementrénové,1410,Villa,2.1875,Brussels
10151678,True,False,1775.0,1.0,80.0,True,False,False,True,80.0,False,0.0,85.0,85.0,2.0,False,Fraîchementrénové,1050,Maison,20.88235294117647,Brussels
10152551,True,False,1200.0,5.0,217.0,True,False,False,True,22.0,True,52.0,160.0,160.0,2.0,False,Excellentétat,1400,Maison,7.5,Brussels
10153869,True,False,1250.0,3.0,260.0,True,False,False,True,8.0,True,630.0,1120.0,1120.0,4.0,False,Bon,5060,Maison,1.1160714285714286,Wallonia
10155840,True,False,4500.0,5.0,375.0,True,False,False,True,30.0,True,200.0,325.0,325.0,3.0,False,Excellentétat,1200,Villa,13.846153846153847,Brussels
10157580,True,False,3700.0,5.0,315.0,True,False,False,True,30.0,True,900.0,900.0,900.0,4.0,False,Excellentétat,3080,Villa,4.111111111111111,Flanders
10166582,True,False,1790.0,2.0,180.0,True,False,False,True,30.0,True,120.0,215.0,215.0,2.0,False,Excellentétat,1160,Maison,8.325581395348838,Brussels
10167817,True,False,1600.0,8.0,280.0,True,False,False,False,0.0,False,0.0,100.0,100.0,2.0,False,Fraîchementrénové,4870,Maisondemaître,16.0,Wallonia
10169012,True,False,4500.0,6.0,400.0,True,False,False,True,69.0,True,2400.0,2700.0,2700.0,4.0,False,Bon,3080,Villa,1.6666666666666667,Flanders
10170590,True,False,820.0,2.0,90.0,True,False,False,True,19.0,False,0.0,80.0,80.0,3.0,False,Excellentétat,1400,Maison,10.25,Brussels
10171146,True,False,1250.0,2.0,105.0,True,False,False,True,10.0,False,0.0,50.0,50.0,2.0,False,Bon,3300,Immeublemixte,25.0,Flanders
10174399,True,False,1100.0,3.0,145.0,True,False,False,True,23.0,False,0.0,700.0,700.0,3.0,False,Excellentétat,3581,Maison,1.5714285714285714,Flanders
10175972,True,False,1490.0,3.0,156.0,True,False,False,True,40.0,False,0.0,186.0,186.0,3.0,False,Excellentétat,1332,Maison,8.010752688172044,Brussels
10177011,True,False,1950.0,4.0,160.0,True,False,False,False,0.0,True,420.0,580.0,580.0,2.0,False,Fraîchementrénové,1070,Maison,3.3620689655172415,Brussels
10178677,True,False,950.0,2.0,371.0,True,False,False,False,0.0,False,0.0,11000.0,11000.0,3.0,False,Bon,3221,Bienexceptionnel,0.08636363636363636,Flanders
10181455,True,False,670.0,2.0,70.0,True,False,False,False,0.0,False,0.0,31.0,31.0,2.0,False,Excellentétat,8500,Maison,21.612903225806452,Brussels
10183586,True,False,2950.0,5.0,289.0,True,False,False,True,100.0,True,300.0,764.0,764.0,4.0,False,Excellentétat,1560,Villa,3.8612565445026177,Brussels
10185164,True,False,2950.0,5.0,289.0,True,False,False,True,100.0,True,300.0,764.0,764.0,4.0,False,Excellentétat,3090,Villa,3.8612565445026177,Flanders
10197532,True,False,5500.0,6.0,600.0,True,False,False,False,0.0,False,0.0,2386.0,2386.0,4.0,False,Bon,3080,Maison,2.305113160100587,Flanders
10200609,True,False,3250.0,4.0,250.0,True,False,False,True,35.0,False,0.0,800.0,800.0,3.0,False,Excellentétat,1180,Maison,4.0625,Brussels
10201462,True,False,2100.0,5.0,145.0,True,False,True,True,30.0,True,203.0,350.0,350.0,3.0,False,Bon,1950,Maison,6.0,Brussels
10202545,True,False,700.0,2.0,105.0,True,False,False,False,0.0,False,0.0,1.0,1.0,2.0,False,Bon,4500,Maison,700.0,Wallonia
10203263,True,False,2800.0,5.0,290.0,True,False,False,True,15.0,True,705.0,705.0,705.0,4.0,False,Excellentétat,1410,Villa,3.971631205673759,Brussels
10203266,True,False,2200.0,4.0,185.0,True,False,True,False,0.0,False,0.0,1257.0,1257.0,4.0,False,Excellentétat,1380,Maison,1.7501988862370723,Brussels
10203281,True,False,1150.0,3.0,200.0,True,False,False,True,11.0,True,600.0,700.0,700.0,2.0,False,Excellentétat,3370,Maison,1.6428571428571428,Flanders
10203999,True,False,3750.0,4.0,280.0,True,False,False,True,40.0,True,1000.0,1334.0,1334.0,4.0,False,Excellentétat,1332,Villa,2.811094452773613,Brussels
10209635,True,False,3700.0,4.0,195.0,True,False,False,True,21.0,True,50.0,200.0,200.0,3.0,False,Excellentétat,1180,Maison,18.5,Brussels
10210188,True,False,1500.0,4.0,174.0,True,False,False,True,18.0,True,112.0,228.0,228.0,2.0,False,Fraîchementrénové,6780,Maison,6.578947368421052,Wallonia
10212316,True,False,2900.0,3.0,229.0,True,False,False,True,10.0,True,400.0,525.0,525.0,3.0,False,Bon,1150,Maison,5.523809523809524,Brussels
10213704,True,False,945.0,3.0,140.0,True,False,False,False,0.0,False,0.0,408.0,408.0,3.0,False,Bon,9880,Maison,2.3161764705882355,Flanders
10214077,True,False,1100.0,3.0,110.0,True,False,False,True,8.0,True,66.0,165.0,165.0,3.0,False,Fraîchementrénové,1435,Maison,6.666666666666667,Brussels
10214160,True,False,875.0,4.0,190.0,True,False,False,True,23.0,True,114.0,303.0,303.0,2.0,False,Bon,8790,Maison,2.887788778877888,Brussels
10214279,True,False,3750.0,4.0,280.0,True,False,False,False,0.0,False,0.0,1300.0,1300.0,4.0,False,Excellentétat,1332,Maison,2.8846153846153846,Brussels
10219866,True,False,1990.0,5.0,300.0,True,False,True,True,80.0,True,200.0,350.0,350.0,4.0,False,Excellentétat,1560,Maison,5.685714285714286,Brussels
10220812,True,False,1200.0,3.0,125.0,True,False,False,True,20.0,True,500.0,500.0,500.0,3.0,False,Excellentétat,6890,Maison,2.4,Wallonia
10220813,True,False,1200.0,3.0,125.0,True,False,False,True,20.0,True,500.0,500.0,500.0,3.0,False,Excellentétat,6890,Maison,2.4,Wallonia
10221375,True,False,1000.0,3.0,160.0,True,False,False,False,0.0,True,300.0,458.0,458.0,3.0,False,Bon,8790,Maison,2.183406113537118,Brussels
10222585,True,False,3800.0,4.0,290.0,True,False,False,True,104.0,False,0.0,740.0,740.0,3.0,False,Fraîchementrénové,1180,Villa,5.135135135135135,Brussels
10225155,True,False,1450.0,2.0,140.0,True,False,False,True,22.0,True,1000.0,1300.0,1300.0,4.0,False,Excellentétat,1330,Bungalow,1.1153846153846154,Brussels
10229299,True,False,1600.0,4.0,175.0,True,False,False,True,15.0,False,0.0,90.0,90.0,2.0,False,Excellentétat,5000,Maison,17.77777777777778,Wallonia
10231177,True,False,550.0,3.0,120.0,True,False,False,False,0.0,False,0.0,80.0,80.0,3.0,False,Fraîchementrénové,6642,Maison,6.875,Wallonia
10232945,True,False,3700.0,5.0,315.0,True,False,False,True,25.0,True,900.0,1000.0,1000.0,4.0,False,Fraîchementrénové,3080,Villa,3.7,Flanders
10233352,True,False,1750.0,2.0,160.0,True,False,False,False,0.0,False,0.0,400.0,400.0,4.0,False,Fraîchementrénové,1380,Maison,4.375,Brussels
10233837,True,False,1160.0,4.0,194.0,True,False,True,True,33.0,True,946.0,1042.0,1042.0,4.0,False,Bon,3582,Maison,1.1132437619961613,Flanders
